AB01,AB02,CD03,AB03,EF06,AB04
632.2309113,16,500.3454865,694.0548462,71.93938599,600.4522156
634.8565674,16,500.5207703,696.6498596,71.11435547,602.9085754
636.4169678,16,500.5176849,698.5148499,70.64138184,604.5061523
637.2654175,16,500.2255676,700.0498535,70.6963501,605.6723511
637.5303925,16,500.1548401,700.359845,70.58085938,605.8148499
637.86763,16,500.2686066,700.3498657,70.54238281,606.0248291
639.8241577,16,500.4930878,702.2048157,69.86581421,608.132251
637.7445129,16,500.5115356,699.9298706,70.50387573,606.1073303
638.512674,16,500.9543304,700.2848267,70.03081665,606.7410461
636.7033539,16,501.1449768,697.3748535,59.76786499,605.3348572
638.4323792,16,500.3762421,697.6898376,23.36879883,607.0485535
638.1888123,16,500.0871826,697.299823,5.158312988,606.8423035
639.4842377,16,500.2470886,698.7548462,4.800820923,608.1697449
640.0543335,16,500.4162109,699.3198486,5.059320068,609.0097107
639.7278046,16,500.6652863,698.3848694,4.83381958,608.5447388
640.7100739,16,501.0342773,699.3498535,4.503839111,609.8121704
636.574881,16,501.4862915,693.9748718,5.592810059,605.6273376
637.1744232,16,502.0121033,693.6498718,5.647817993,606.1410522
634.0054352,16,502.0274841,690.2648621,6.703848267,603.0284668
639.3691467,16,501.4647736,697.1548462,5.306820679,608.4172363
639.7759766,16,501.3233307,697.5398621,5.037322998,608.5897278
639.8134491,16,501.4340302,697.3048584,5.048318481,608.5109802
640.5414551,16,501.7230621,697.7648499,5.064819336,609.3247009
639.5377777,16,498.6972534,703.1348389,-34.64516296,608.6497192
639.275473,16,498.2175537,703.8248352,-43.1921875,608.4322388
636.3795013,16,498.1160706,700.489856,-42.12512512,605.6498352
639.3557678,16,497.9469543,704.7098877,-43.40116882,608.8897156
638.180777,16,492.8270935,718.8048645,-97.00956726,608.0347656
637.9398926,16,491.9630127,719.6448547,-97.76856384,607.5247681
638.5635284,16,492.2182739,720.3948486,-97.96107788,608.3422424
637.3483948,16,492.1875183,719.0198364,-97.82907715,606.9885193
637.6267395,16,492.162915,719.1598328,-97.66958618,607.2772949
637.3564148,16,492.199823,718.8098572,-97.84555359,607.0860413
636.8211182,16,492.4488892,717.6898865,-97.36707764,606.5498169
